iter	Passed	Remaining
966	6539	223
967	6546	216
968	6552	209
969	6559	202
970	6566	196
971	6573	189
972	6580	182
973	6586	175
974	6593	169
975	6600	162
976	6607	155
977	6613	148
978	6620	142
979	6627	135
980	6634	128
981	6641	121
982	6648	114
983	6654	108
984	6661	101
985	6668	94
986	6675	87
987	6682	81
988	6690	74
989	6696	67
990	6703	60
991	6710	54
992	6717	47
993	6724	40
994	6731	33
995	6737	27
996	6744	20
997	6751	13
998	6758	6
999	6765	0
